Player,Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Russell Westbrook,OKC,5,1,4,39.4,21,3,6,50,2.6,3.2,81.3,8.4,40,11.4,54.3,4.2,20,1.8,8.6,1.2,5.7
James Harden,HOU,7,4,3,36.4,26,3.6,9.4,37.9,3.4,3.9,88.9,10.6,40.7,12.7,48.9,4.6,17.6,1.9,7.1,1.7,6.6
Reggie Jackson,DET,4,0,4,26.9,13.8,2.5,6.5,38.5,0.8,1,75,5.8,41.8,6,43.6,2,14.5,0.5,3.6,0.5,3.6
Ricky Rubio,UTA,5,1,4,33.5,15.8,2.6,5.8,44.8,1.8,2.4,75,7,44.3,7.2,45.6,2.2,13.9,0.8,5.1,1.2,7.6
Lou Williams,LAC,6,2,4,29.4,18.2,4,8.8,45.3,3.3,3.8,87,11.3,62.4,6.2,33.9,2.5,13.8,0.8,4.6,1.7,9.2
CJ McCollum,POR,7,5,2,37.4,11.4,3.6,7,51,0.6,1,57.1,7.7,67.5,3.4,30,1.3,11.3,0.6,5,0.4,3.8
Jimmy Butler,PHI,8,6,2,34.2,10.1,2.4,4.8,50,1.5,1.9,80,6.3,61.7,3.8,37,1.1,11.1,0.4,3.7,0.8,7.4
Shai Gilgeous-Alexander,LAC,6,2,4,28.8,10.7,1.3,3.8,34.8,1.7,1.8,90.9,4.2,39.1,4.8,45.3,1.2,10.9,0.3,3.1,0.8,7.8
Jamal Murray,DEN,9,5,4,33.2,12.2,3.2,5.9,54.7,1,1,100,7.4,60.9,5.2,42.7,1.3,10.9,0.2,1.8,0.4,3.6
DeMar DeRozan,SAS,7,3,4,35.8,17.4,3,6.3,47.7,3,3.3,91.3,9,51.6,8.6,49.2,1.9,10.7,0.3,1.6,1.6,9
Derrick White,SAS,7,3,4,27.2,10.7,3.1,5.1,61.1,1.4,2.3,62.5,7.7,72,4,37.3,1.1,10.7,0.6,5.3,1,9.3
Ish Smith,DET,4,0,4,20.2,15,1.8,4.8,36.8,1.3,1.5,83.3,4.8,31.7,8.5,56.7,1.5,10,0.8,5,0.8,5
Paul George,OKC,5,1,4,40.8,10.2,2.4,4.6,52.2,3.2,4,80,8,78.4,3,29.4,1,9.8,0.8,7.8,1.8,17.6
Caris LeVert,BKN,5,1,4,28.9,16.6,4.2,8,52.5,2.8,4,70,11.4,68.7,5.4,32.5,1.6,9.6,1.2,7.2,1.8,10.8
Blake Griffin,DET,2,0,2,29,11.5,3.5,6,58.3,0.5,0.5,100,7.5,65.2,4.5,39.1,1,8.7,1,8.7,0,0
Damian Lillard,POR,7,5,2,40,18.1,4,7.9,50.9,2.6,3.3,78.3,10.6,58.3,5.9,32.3,1.6,8.7,1.6,8.7,1.6,8.7
Kawhi Leonard,TOR,8,5,3,35.9,17,4.3,7.1,59.6,2.5,2.8,90.9,11.1,65.4,7.4,43.4,1.4,8.1,1,5.9,1.1,6.6
Chris Paul,HOU,7,4,3,34.5,15.9,3.1,6,52.4,0.6,0.9,66.7,7,44.1,7,44.1,1.1,7.2,1.7,10.8,0.4,2.7
Spencer Dinwiddie,BKN,5,1,4,26.3,13.8,2.8,7,40,1.4,1.4,100,7,50.7,5.2,37.7,0.8,5.8,0.8,5.8,0.6,4.3
Eric Bledsoe,MIL,6,5,1,27.1,12.3,2.7,4.5,59.3,2.3,2.7,87.5,7.8,63.5,4.7,37.8,0.7,5.4,1,8.1,1.2,9.5
D'Angelo Russell,BKN,5,1,4,29.6,14.2,2.8,8.4,33.3,1,1.2,83.3,6.6,46.5,3.6,25.4,0.6,4.2,1.8,12.7,0.4,2.8
Donovan Mitchell,UTA,5,1,4,38.6,19.4,2.8,9.8,28.6,3.4,3.8,89.5,9,46.4,5.6,28.9,0.6,3.1,1.8,9.3,2,10.3
Kyrie Irving,BOS,6,5,1,35.3,12.8,3,7,42.9,0.8,1,83.3,6.8,53.2,3.8,29.9,0.3,2.6,1.3,10.4,0.5,3.9
