Player,Team,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
James Harden,HOU,6,2,4,40.4,12.8,4.5,12.8,35.1,3.8,11.3,33.8,50
Damian Lillard,POR,7,4,3,41.3,9.9,3.9,12.4,31,2.1,7.4,28.8,39.7
CJ McCollum,POR,7,4,3,42,11.3,5,11.9,42.2,1.3,4.3,30,47.6
Kawhi Leonard,TOR,7,4,3,39.7,12.4,5.6,11.1,50,1.3,3.7,34.6,55.8
Kevin Durant,GSW,5,3,2,42.4,10.2,4.6,10.8,42.6,1,2.2,45.5,47.2
Jamal Murray,DEN,7,3,4,39.8,9.9,4,10.1,39.4,1.9,4.3,43.3,48.6
Kyrie Irving,BOS,5,1,4,36.5,6.8,3,9.8,30.6,0.8,3.6,22.2,34.7
Chris Paul,HOU,6,2,4,38.8,9.2,3.7,8.3,44,1.8,5,36.7,55
Stephen Curry,GSW,6,4,2,39.3,8,3.2,8.3,38,1.7,5.8,28.6,48
Khris Middleton,MIL,5,4,1,35.3,6.4,2.6,7.4,35.1,1.2,3.6,33.3,43.2
Jimmy Butler,PHI,7,3,4,37.7,4,1.9,6.7,27.7,0.3,2.4,11.8,29.8
Klay Thompson,GSW,6,4,2,41.5,4.2,1.8,4.8,37.9,0.5,1.5,33.3,43.1
Giannis Antetokounmpo,MIL,5,4,1,34,5,1.8,4.4,40.9,1.4,3,46.7,56.8
Kyle Lowry,TOR,7,4,3,38.7,3.9,1.7,4.4,38.7,0.4,2.3,18.8,43.5
JJ Redick,PHI,7,3,4,33.2,4.6,1.6,4,39.3,1.4,3.6,40,57.1
Jayson Tatum,BOS,5,1,4,30.6,3.8,1.8,4,45,0.2,0.6,33.3,47.5
