PLAYER,POS,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap
Jordan Bone,SG,9.97,2.78,3.03,36,42.5
Jalen Lecque,PG,11.09,3.3,3.21,35,43
Oshea Brissett,SF-PF,11.3,3.18,3.38,34,37.5
Brandon Clarke,SF,10.61,3.05,3.28,34,40.5
Jared Harper,PG,10.77,3.02,3.2,33.5,40.5
Jaylen Hands,PG,10.73,3.03,3.18,33,41.5
Eric Paschall,SF,11.63,3.26,3.18,33,38
Luguentz Dort,PG,10.79,3.13,3.27,32.5,38
Daniel Gafford,PF,11.61,3.19,3.28,32.5,36.5
Terance Mann,SG-SF,11.51,3.14,3.24,32.5,38.5
Isaiah Roby,PF,10.63,3.05,3.21,32.5,35.5
Brian Bowen II,SF,10.98,3.21,3.33,32,35.5
Jaylen Nowell,SG,10.76,3.13,3.13,32,38.5
Nicolas Claxton,C,11.26,3.47,3.33,31.5,36.5
Ignas Brazdeikis,SF,11.06,3.17,3.32,31,36.5
Nassir Little,SF,12.15,3.09,3.31,31,38.5
Quinndary Weatherspoon,SG,11.57,3.15,3.09,31,38
Darius Bazley,PF,11.09,2.95,3.29,30.5,37
Kyle Guy,SG,10.48,3.06,3.28,30.5,36.5
Dewan Hernandez,C,11.46,3.25,3.3,30.5,35.5
Cameron Johnson,SG,10.52,3.23,3.24,30.5,36.5
KZ Okpala,SF,10.88,3.13,3.34,30.5,37
Miye Oni,SG,11.71,3.12,3.55,30.5,38.5
Tremont Waters,PG,10.76,3.11,3.06,30.5,40.5
Devon Dotson,PG,10.63,2.8,3.14,30,38.5
Admiral Schofield,SF,10.77,2.87,3.31,30,34
Terence Davis,SG,10.69,2.96,3.19,29.5,34
Bruno Fernando,C,11.29,3.05,3.27,29.5,33.5
Charles Matthews,SG,11.26,3.24,3.35,29.5,37.5
Jalen McDaniels,SF,11.54,3.28,3.35,29.5,33.5
Marial Shayok,SF-PF,11.16,3.04,3.38,29.5,36.5
Kris Wilkes,SF,10.39,3.09,3.31,29.5,36
Charles Bassey,C,12.65,3.27,3.4,29,33
Louis King,SF,10.99,3.05,3.37,29,33
Shamorie Ponds,PG,11.01,3.07,3.5,29,37
Dylan Windler,SF,10.7,2.94,3.25,29,37.5
Carsen Edwards,PG,10.53,2.82,3.22,28.5,34
Reggie Perry,SF-PF,12.46,3.4,3.35,28.5,31.5
Mfiondu Kabengele,PF,11.21,3.3,3.38,28,35.5
Cody Martin,PG-SG,10.44,2.99,3.26,28,35.5
Ky Bowman,PG,11.11,3.11,3.25,27.5,33
Tyler Cook,PF,11.32,3.1,3.29,27.5,32
Quentin Grimes,SG,10.83,3.28,3.54,27.5,36
Jalen Hoard,PF,11.44,3.32,3.33,27.5,35.5
Jordan Poole,SG,10.59,3.14,3.24,27.5,35.5
Moses Brown,C,11.95,3.3,3.68,27,31
Jaxson Hayes,PF,11.74,3.23,3.31,27,34.5
Kevin Porter Jr.,SG,10.82,3.03,3.21,27,34
Luka Samanic,PF,11.01,3.03,3.23,27,38
Simisola Shittu,PF,11.85,3.27,3.33,27,35.5
Talen Horton-Tucker,SG,11.34,3.43,3.36,26,34.5
Ty Jerome,PG,11.21,3.12,3.42,26,31.5
Naz Reid,PF,12.03,3.76,3.39,26,32.5
Grant Williams,PF,10.83,3.27,3.3,26,31.5
Zach Norvell Jr.,SG,11.6,3.34,3.44,24,30
Neemias Queta,C,12.04,3.45,3.58,24,32.5
Dedric Lawson,PF,11.8,3.54,3.6,23.5,26
Tacko Fall,C,13.01,3.46,3.7,22,26.5
