Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Malcolm Brogdon,MIL,38,29.6,4.3,1.4,2.9,49.5,1.4,2.9,50.5,74.3
Davis Bertans,SAS,40,19.5,5.5,1.9,3.7,50.3,1.8,3.5,50,74.1
Haywood Highsmith,PHI,1,5.2,3,1,2,50,1,2,50,75
Vincent Edwards,HOU,1,3.7,3,1,2,50,1,2,50,75
Joe Harris,BKN,40,29.4,6.6,2.2,4.4,50.9,2.1,4.3,49.7,75.1
Monte Morris,DEN,41,24.4,3.3,1.1,2.3,48.4,1.1,2.2,48.9,72
Buddy Hield,SAC,43,31.3,7.6,2.6,5.4,48.3,2.3,4.9,47.4,69.7
Marcus Morris,BOS,38,27.4,6.1,2.1,4.4,47.6,2,4.2,46.6,70.2
Nemanja Bjelica,SAC,43,24.7,4.1,1.4,3,46.9,1.3,2.9,46.4,69.5
Danilo Gallinari,LAC,41,31.8,5.5,1.9,4.4,43,1.8,3.9,45.3,63.4
Stephen Curry,GSW,31,34.5,9.7,3.3,7.3,45.4,3.1,6.8,45.3,66.5
Bojan Bogdanovic,IND,42,31.6,5.2,1.8,3.9,45.7,1.6,3.6,44.7,66.5
Channing Frye,CLE,21,9.5,3,1,2.2,44.7,1,2.1,44.4,66
Bryn Forbes,SAS,44,28.3,4.6,1.5,3.5,44.4,1.5,3.3,44.2,65.7
Patty Mills,SAS,44,23.8,3.6,1.3,2.9,43,1.1,2.6,44.2,62.5
T.J. Warren,PHX,38,31.6,5.2,1.8,4.1,44.2,1.7,3.8,44.1,64.6
Luke Kornet,NYK,20,13.7,4.2,1.4,3.4,41.8,1.4,3.1,43.5,61.9
Noah Vonleh,NYK,42,26.5,2.6,0.9,2,42.9,0.9,2,43.4,64.3
Kyle Korver,UTA,38,17.8,4.9,1.7,3.9,44.3,1.4,3.3,43.2,62.4
Doug McDermott,IND,42,17.6,3.6,1.2,3,41.3,1.2,2.7,43,60.7
Harrison Barnes,DAL,38,32,6.8,2.3,5.4,42.2,2.2,5.1,43,62.4
Taurean Prince,ATL,21,28.7,5.4,1.8,4.3,41.8,1.8,4.1,43,62.1
Will Barton,DEN,3,23.3,3,1,2.3,42.9,1,2.3,42.9,64.3
Austin Rivers,HOU,38,26.7,2.5,0.8,2,42.7,0.8,2,42.7,64
Danny Green,TOR,42,29.3,5.7,1.9,4.5,42.4,1.8,4.3,42.5,62.6
D.J. Wilson,MIL,13,17.9,2.7,0.9,2.2,42.9,0.8,2,42.3,62.5
Josh Richardson,MIA,40,34.8,6,2.1,4.9,42.3,1.9,4.5,42.1,61.6
Rudy Gay,SAS,35,26.7,2.9,1,2.3,42.7,0.9,2.2,42.1,62.2
Ryan Arcidiacono,CHI,42,26.7,3.3,1.1,2.6,42.6,1.1,2.5,42.1,63.4
Troy Daniels,PHX,20,14.4,3.7,1.3,2.9,43.1,1.2,2.9,42.1,63.8
Dion Waiters,MIA,4,16.4,3.8,1.3,3,41.7,1.3,3,41.7,62.5
Kawhi Leonard,TOR,34,34.6,3,1.1,2.5,41.9,0.9,2.1,41.7,59.3
Victor Oladipo,IND,31,32.5,3.8,1.3,3.2,40,1.2,2.9,41.6,58.5
Danuel House Jr.,HOU,23,24.1,3.6,1.2,2.9,42.4,1.2,2.8,41.5,62.9
Kyrie Irving,BOS,38,32.1,4.5,1.6,3.8,41.7,1.3,3.2,41.5,59.4
Reggie Bullock,DET,33,30.5,7.2,2.5,5.8,42,2.3,5.7,41.2,61.9
Juancho Hernangomez,DEN,40,26.1,4.6,1.6,3.7,42.5,1.5,3.5,41.1,62.3
Malik Beasley,DEN,41,22.1,4.3,1.5,3.5,41.7,1.4,3.4,41.1,61.8
Wesley Matthews,DAL,36,30.2,5.6,1.9,4.6,40.7,1.8,4.4,41.1,60.2
Allen Crabbe,BKN,28,26.1,6.5,2.2,5.5,39.6,2.2,5.3,40.9,59.4
Devin Booker,PHX,31,35.2,3.8,1.3,3.2,41,1.1,2.8,40.7,58.5
Marco Belinelli,SAS,43,22,4.5,1.6,3.9,42.2,1.2,3,40.5,58.1
Wilson Chandler,PHI,28,25.6,3.2,1.1,2.8,39,1.1,2.6,40.5,58.4
Blake Griffin,DET,39,36,3.1,1.1,2.6,40.6,1,2.5,40.4,60.4
E'Twaun Moore,NOP,38,30,3.7,1.3,3.1,41.2,1.2,2.9,40.4,59.7
Fred VanVleet,TOR,39,26.8,3.7,1.3,3,42.7,1.1,2.8,40.4,61.5
Bogdan Bogdanovic,SAC,31,28,4.9,1.7,4.2,41.1,1.5,3.7,40,58.9
PJ Tucker,HOU,41,35.1,5.8,1.9,4.8,39.9,1.9,4.8,40,59.6
Iman Shumpert,SAC,33,25.5,4.6,1.5,3.9,39.5,1.5,3.7,39.8,58.5
Joe Ingles,UTA,44,31.1,4.4,1.5,3.7,39,1.5,3.7,39.8,58.5
