Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%,POS
Zach LaVine,CHI,41,33.6,8,33,0.9,0.4,3.8,1.2,1.7,75,G/F
Wilson Chandler,PHI,34,26.5,23,11,0.6,0.5,3.5,1.4,2.1,64.4,Forward
Willie Cauley-Stein,SAC,48,28.4,24,24,1.1,0.6,6.4,3,4.4,69.2,Center
Wesley Matthews,DAL,41,30.1,17,24,0.8,0.3,1.9,1.6,2.1,75.6,G/F
Wendell Carter Jr.,CHI,43,25.4,10,33,0.6,1.3,5,2.9,5,58.9,Center
Victor Oladipo,IND,36,31.9,25,11,1.7,0.3,5,1.6,2.3,69.5,Guard
Tyler Johnson,MIA,39,25.4,19,20,0.9,0.5,2.4,1.2,1.6,71.9,Guard
Tristan Thompson,CLE,35,29.8,7,28,0.8,0.5,6.7,2.3,4.4,52.3,C/F
Trevor Ariza,WAS,41,35.4,11,30,1.6,0.2,5.1,2.1,2.6,82.2,Forward
Trae Young,ATL,47,29.8,15,32,0.9,0.2,2.5,1.6,1.9,82.2,Guard
Tobias Harris,LAC,48,34.5,26,22,0.8,0.4,7.3,2.5,3.5,70,Forward
Tim Hardaway Jr.,NYK,41,32.8,10,31,0.9,0.1,2.8,2.2,3.2,67.9,Guard
Thaddeus Young,IND,47,30.2,32,15,1.6,0.5,3.8,2,3,66,Forward
Terrence Ross,ORL,46,26.2,18,28,0.9,0.4,2.9,1.2,1.6,76.4,G/F
Taurean Prince,ATL,26,27,7,19,1.1,0.3,3.7,1.3,1.7,75,Forward
Taj Gibson,MIN,46,25.6,23,23,0.8,0.6,4.3,2,3.1,64.5,Forward
T.J. Warren,PHX,43,31.6,10,33,1.2,0.7,3.3,2.1,3.1,68.7,Forward
Steven Adams,OKC,46,34.2,28,18,1.5,0.8,5.3,3.9,6.4,61.2,Center
Stephen Curry,GSW,36,34.3,28,8,1.2,0.4,4.4,1.1,1.6,69.6,Guard
