Player,Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
James Harden,HOU,44,26,18,37.3,19.5,4.6,8.7,53.3,3.4,4.2,82.5,13.3,68.3,6.3,32.2,2.4,12.5,1.7,8.5,2.1,10.9
DeMar DeRozan,SAS,48,26,22,35.4,18.7,3.9,7.7,51.4,2.3,2.8,84.2,10.5,56.3,8,42.8,2.1,11.2,1.1,5.8,1.4,7.6
John Wall,WAS,32,11,21,34.5,16.8,3.5,6.5,54.1,2.4,3.3,72.4,9.5,56.4,6.2,36.7,1.7,10,1.8,10.8,1.6,9.6
Trae Young,ATL,47,15,32,29.8,16.7,3,5.8,50.9,1.4,1.6,85.5,7.4,44.6,7.5,45,2.2,13.4,1.7,10.4,0.9,5.1
Russell Westbrook,OKC,40,25,15,35.4,16.7,2.9,5.7,50.2,1.4,2.1,65.5,7.2,43.3,8.5,51,2.4,14.2,1.2,7.2,1,6.1
Jrue Holiday,NOP,49,22,27,36.8,16.5,4.2,7.8,54.2,1.5,2,73.7,10.3,62.3,6.1,37,1.8,10.7,0.9,5.4,1,6.2
Donovan Mitchell,UTA,44,26,18,33,16,3.9,8.5,46.5,1.4,1.9,75.6,9.5,59.4,5.2,32.5,1.1,7.1,1.1,6.8,1,6
Kemba Walker,CHA,47,23,24,34.3,14.9,3.2,6.7,48.4,1.9,2.3,82.1,8.6,57.4,5.7,38.3,1.6,10.7,0.9,5.7,1.1,7.6
Kawhi Leonard,TOR,36,25,11,35,14.4,3.9,6.7,58.3,2.5,2.9,87.4,10.7,74.4,5.3,36.4,0.8,5.6,0.5,3.7,1.4,10
Devin Booker,PHX,37,8,29,34.6,14.3,3.4,6.6,51.6,1.8,2,86.7,8.7,61,4.7,32.8,1.5,10.6,1.2,8.7,1,7.2
Spencer Dinwiddie,BKN,49,26,23,28.5,14.3,2.9,5.6,52.4,2.4,3.1,76.5,8.5,59.5,5.9,41.5,1.1,7.6,0.8,5.6,1.6,11.3
Caris LeVert,BKN,14,6,8,29.7,13.9,3.8,6.6,57,1.7,2.3,75,9.8,70.3,4.7,33.8,0.9,6.7,1.1,7.7,1.1,8.2
Chris Paul,HOU,26,16,10,33.2,13.7,2.2,5.2,43.3,0.4,0.5,91.7,5.2,38.3,6.7,49,1.5,11,1,7.6,0.2,1.7
Jeff Teague,MIN,31,17,14,30.3,13.6,2,4.9,41.2,1.3,1.6,79.6,5.4,39.9,6.3,46.3,1.8,13.3,1,7.1,0.8,5.7
Kris Dunn,CHI,21,5,16,30.6,13.4,3.1,6.5,48.2,0.7,0.9,83.3,7.1,53.4,5.3,39.5,1.2,8.9,0.9,6.4,0.4,3.2
Zach LaVine,CHI,41,8,33,33.6,13.2,3.1,6.4,48.3,2.5,3,84.4,9,68,3.9,29.8,0.6,4.8,1,7.4,1.5,11.3
Giannis Antetokounmpo,MIL,43,32,11,33.1,13.1,3.1,4.8,64.9,2.1,3,70.9,8.7,66.1,4.9,37.3,1.1,8.3,1.3,9.9,1.5,11.5
Mike Conley,MEM,47,19,28,33.6,13,2.8,5.9,47.6,1.5,1.7,86.3,7.3,56.4,5.3,40.8,1.1,8.8,0.6,4.2,0.9,6.5
Damian Lillard,POR,50,30,20,35.3,12.7,2.9,6.1,47.6,1.4,1.5,92.1,7.5,59,4.6,35.8,1.3,10.1,0.8,6.1,0.8,6.1
Luka Doncic,DAL,46,20,26,32,12.7,2.2,5.2,43,1.5,2,73.4,6,47.5,5.3,41.7,1.5,11.5,0.8,6.7,1,7.9
De'Aaron Fox,SAC,47,24,23,31.5,12.6,2.8,5.7,49.3,1.6,2.3,69.8,7.5,59.3,4.4,35,1.5,12,0.8,6.6,1.1,9.1
Goran Dragic,MIA,14,6,8,29.1,12.5,2.2,4.9,45.6,0.4,0.6,75,5.1,40.6,6,48,1.9,14.9,1.1,8.6,0.3,2.3
LeBron James,LAL,34,20,14,34.7,12.1,3.2,5.9,54.5,1.8,2.8,63.8,8.5,70,3.7,30.5,1.3,10.7,0.7,5.6,1.4,11.6
Derrick Rose,MIN,38,17,21,29,12.1,2.9,5.9,49.8,1.2,1.3,88,7.2,59.9,4.4,36.4,1.1,9.2,0.7,5.4,0.7,5.4
Bradley Beal,WAS,46,19,27,37.1,12,3.2,5.7,56.9,1.1,1.4,79.7,7.7,64.1,4.5,37,1.1,9.4,0.8,6.7,0.7,5.6
Ricky Rubio,UTA,41,20,21,28.6,12,1.6,3.5,45.5,0.6,0.8,73.5,3.9,32.5,6.5,54.1,1.8,15,1.2,9.8,0.4,3.5
Dennis Schroder,OKC,47,29,18,28.6,11.9,2.8,5.9,48,1.5,1.7,87.5,7.4,62.1,3.9,32.9,1,8.1,0.9,7.5,0.9,7.4
